Unnamed: 0,Questions,Gold Answers,GPT Answer,Base Model Answers,BERT Similarity GPT,BERT Similarity Baseline,GPT Correctness,Baseline Correctness
0,who wrote old flames cant hold a candle to you," "" Old Flames Can't Hold a Candle to You '' is a country song written by singer - songwriter Pebe Sebert and Hugh Moffatt. It was a number 14 U.S. country hit for Joe Sun in 1978, and a number 86 hit for Brian Collins the same year. It was later covered by Dolly Parton, who took it to the top of the U.S. country singles charts in August 1980.. Parton included her version on her 1980 Dolly, Dolly, Dolly album, and it was released as the album 's second single after the success of "" Starting Over Again ''. In 2013, Sebert 's daughter, Kesha, released an acoustic cover of the song as part of her extended play Deconstructed. A new version featuring Parton is on a track of Kesha 's 2017 album Rainbow. ","The song ""Old Flames Can't Hold a Candle to You"" was written by singer-songwriter Pebe Sebert and songwriter Hugh Moffatt. It was originally recorded by Joe Sun in 1978, but became a hit when it was covered by country music singer-songwriter Dolly Parton in 1980.",,,,1,
1,who said beware of the ides of march," In modern times, the Ides of March is best known as the date on which Julius Caesar was assassinated in 44 BC. Caesar was stabbed to death at a meeting of the Senate. As many as 60 conspirators, led by Brutus and Cassius, were involved. According to Plutarch, a seer had warned that harm would come to Caesar no later than the Ides of March. On his way to the Theatre of Pompey, where he would be assassinated, Caesar passed the seer and joked, "" The Ides of March are come '', implying that the prophecy had not been fulfilled, to which the seer replied "" Aye, Caesar; but not gone. '' This meeting is famously dramatised in William Shakespeare 's play Julius Caesar, when Caesar is warned by the soothsayer to "" beware the Ides of March. '' The Roman biographer Suetonius identifies the "" seer '' as a haruspex named Spurinna. ","In William Shakespeare's play Julius Caesar, a soothsayer warns Julius Caesar to ""beware the Ides of March,"" foreshadowing his eventual assassination on March 15th.",,,,2,
2,where does arsenic and old lace take place," The play is a farcical black comedy revolving around the Brewster family, descended from the Mayflower, but now composed of insane homicidal maniacs. The hero, Mortimer Brewster, is a drama critic who must deal with his crazy, homicidal family and local police in Brooklyn, New York, as he debates whether to go through with his recent promise to marry the woman he loves. ",Arsenic and Old Lace is a play by Joseph Kesselring. The story is set in the Brooklyn home of the Brewster family in the late 1930s. The plot revolves around the eccentric and homicidal Brewster family and their various schemes to conceal their murders from authorities.,,,,1,
3,how many strong verbs are there in german," German verbs may be classified as either weak, with a dental consonant inflection, or strong, showing a vowel gradation (ablaut). Both of these are regular systems. Most verbs of both types are regular, though various subgroups and anomalies do arise. The only completely irregular verb in the language is sein (to be). although, textbooks for learners often class all strong verbs as irregular. There are more than 200 strong and irregular verbs, but there is a gradual tendency for strong verbs to become weak. ","There is no definitive answer to how many strong verbs there are in German as the language is constantly evolving and new words are being added. However, it is estimated that there are around 200-300 strong verbs in German. Strong verbs are those that change the stem vowel in their past tense and/or past participle forms.",,,,1,
4,what is the job of the whip in congress," In countries influenced by the British political system, a whip is an official of a political party whose task is to ensure party discipline in a legislature. Whips are the party 's "" enforcers ''; they invite their fellow legislators to attend voting sessions and to vote according to the official party policy. The term is taken from the "" whipper - in '' during a hunt, who tries to prevent the hounds from wandering away from the pack. ","In the United States Congress, the job of the whip is to ensure their party's members vote in line with party leadership on important issues. They work with other party leaders to set the legislative agenda and persuade members to vote in favor of their party's positions. They also keep track of how members plan to vote and create vote counts to help party leaders determine whether or not they have enough support to pass or defeat legislation.",,,,1,
5,what was the first capital city of australia," There are eight capital cities in Australia, each of which functions as the seat of government for the state or territory in which it is located. Melbourne was the initial capital following the 1901 Federation of Australia. In 1927, the seat of national government was moved to the newly created city of Canberra, which continues to serve as the national capital. ",The first capital city of Australia was Sydney.,,,,3,
6,what is the main issue behind starlink corn," The StarLink corn recalls occurred in the autumn of 2000, when over 300 food products were found to contain a genetically modified corn that had not been approved for human consumption. It was the first - ever recall of a genetically modified food. The anti-GMO activist coalition Genetically Engineered Food Alert, which detected and first reported the contamination, was critical of the FDA for not doing its job. The recall of Taco Bell - branded taco shells, manufactured by Kraft Foods and sold in supermarkets, was the most publicized of the recalls. One settlement resulted in $60 million going to Taco Bell franchisees for lost sales due to the damage to the Taco Bell brand. ","StarLink corn is a genetically modified maize variety, which was approved for animal feed but not for human consumption due to concerns about its potential allergenicity. In 2000, traces of the corn were found in taco shells, leading to a widespread recall of various products from grocery store shelves in the United States. The incident resulted in a significant financial loss for the food industry and raised doubts about the safety measures followed in the regulatory oversight of genetically modified crops.",,,,1,
7,where was the 2015 rugby union world cup held," After England were appointed tournament hosts on 28 July 2009, the proposed stadia for the tournament were revealed. The final venues were confirmed, along with the tournament 's schedule, on 2 May 2013. Twelve of the stadia were located in England, while the Millennium Stadium located in Wales was also to be used. In 2011, the IRB approved the use of the Millennium Stadium, despite being outside of the host country, due to its capacity and strategic location. Of the thirteen venues, two were dedicated rugby union grounds (Kingsholm Stadium and Sandy Park), two were national rugby stadia (Twickenham and the Millennium Stadium), two were multi-purpose stadia (Wembley Stadium and Olympic Stadium), and the remainder were association football grounds. ",The 2015 Rugby Union World Cup was held in England.,,,,2,
8,where are trigger points located in the body," Myofascial trigger points, also known as trigger points, are described as hyperirritable spots in the fascia surrounding skeletal muscle. They are associated with palpable nodules in taut bands of muscle fibers. They are a topic of ongoing controversy, as there is limited data to inform a scientific understanding of the phenomenon. Accordingly, a formal acceptance of myofascial "" knots '' as an identifiable source of pain is more common among bodyworkers, physical therapists, chiropractors, and osteopathic practitioners. Nonetheless, the concept of trigger points provides a framework which may be used to help address certain musculoskeletal pain. ","Trigger points are located in tense, contracted areas of the muscles, and can be felt as knots or nodules in the muscle tissue. They can occur in any muscle in the body, but are most commonly found in the shoulders, neck, and lower back.",,,,2,
9,where is the niger delta on a map," The Niger Delta is the delta of the Niger River sitting directly on the Gulf of Guinea on the Atlantic Ocean in Nigeria. It is typically considered to be located within nine coastal southern Nigerian states, which include: all six states from the South South geopolitical zone, one state (Ondo) from South West geopolitical zone and two states (Abia and Imo) from South East geopolitical zone. Of all the states that the region covers, only Cross River is not an oil - producing state. ","The Niger Delta is a region located in the southern part of Nigeria, along the coast of the Gulf of Guinea. It covers an area of about 70,000 square kilometers and includes states such as Bayelsa, Delta, Rivers, and Akwa Ibom.",,,,2,
10,when does the 14th season of grey's anatomy come out," The fourteenth season of the American television medical drama Grey 's Anatomy was ordered on February 10, 2017, by American Broadcasting Company (ABC), and premiered on September 28, 2017 with a special two - hour premiere. The season will consist of 24 episodes, with the season 's seventh episode marking the 300th episode for the series overall. The season is produced by ABC Studios, in association with ShondaLand Production Company and The Mark Gordon Company; the showrunner being Shonda Rhimes. ","The 14th season of Grey's Anatomy has already been released and aired from September 28, 2017 to May 17, 2018.",,,,1,
