Unnamed: 0,Questions,Gold Answers,GPT Answer,BERT Similarity GPT,Base Model Answers,BERT Similarity Baseline,GPT Correctness,Baseline Correctness,Annotator Label,Category,
0,who was the bad guy in dudley do right,['Snidely Whiplash'],Snidely Whiplash,,,,,,3,Exact match,
1,who won the women's gold medal curling,['Sweden ('],It depends on the specific year and competition being referred to. Please provide more context for a specific answer.,,,,,,1,DATC,
2,who built the dome of the rock mosque,['initially completed in 691 CE at the order of Umayyad Caliph Abd al - Malik'],The dome of the rock mosque was built by Caliph Abd al-Malik in 691 CE.,,,,,,3,Semantically the same,
3,what does hhr stand for on a chevy,['Heritage High Roof'],HHR stands for Heritage High Roof.,,,,,,3,Semantically the same,
4,who won x factor when olly murs came second,['Joe McElderry'],Joe McElderry,,,,,,3,Exact match,
5,geographically speaking where might one generally find island arcs,['close to a boundary between two converging tectonic plates'],"Island arcs are generally found in areas where one tectonic plate subducts under another, such as in the Pacific Ring of Fire.",,,,,,3,Open-ended question,
6,what is the name of the prince in the little mermaid,['Eric'],Prince Eric,,,,,,3,Semantically the same,
7,what is the creature in the mines of moria,['Balrogs'],The creature in the mines of Moria is a Balrog.,,,,,,3,Semantically the same,
8,what is the enrollment at ball state university,"['22,513 students']","As an AI language model, I do not have access to real-time data. The enrollment numbers may change from year to year, it is advisable to check the official website of Ball State University for the latest information.",,,,,,1,DATV,
9,who does the voice for the crab on moana,['Jemaine Clement'],The crab on Moana is voiced by Jemaine Clement.,,,,,,3,Semantically the same,
10,when does the new ravens home come on,['May 2018'],"I'm sorry, I cannot answer that question without more context. Could you be more specific?",,,,,,1,DATC,
11,who plays james bond in tomorrow never dies,['Pierce Brosnan'],Pierce Brosnan,,,,,,3,Exact match,
12,who plays yondu guardians of the galaxy 2,['Michael Rooker'],Michael Rooker,,,,,,3,Exact match,
13,how many heat tiles on a space shuttle,"['about 24,300 unique tiles']","There were 24,000 heat tiles on a space shuttle.",,,,,,3,Different granularity,
14,who form the first political party in nigeria,['Herbert Macaulay'],"The first political party in Nigeria was the Nigerian National Democratic Party (NNDP), formed in 1923.",,,,,,1,Mismatch with question intent,
15,who is the doctor from once upon a time,['Victor Frankenstein'],Dr. Victor Frankenstein / Dr. Whale (played by David Anders),,,,,,3,Semantically the same,
16,deviance is any behavior belief or condition that,"['that violates social norms , including a formally enacted rule ( e.g. , crime ) , as well as informal violations of social norms ( e.g. , rejecting folkways and mores )']",violates cultural norms or societal expectations,,,,,,3,Different granularity,
17,what is the minimum hourly wage in france,['€ 9.88 ( $11 ) per hour'],"As of January 1, 2021, the minimum hourly wage in France is €10.25 per hour.",,,,,,2,Answer is time-dependent ,
18,who plays the joker off of suicide squad,['Jared Leto'],Jared Leto,,,,,,3,Exact match,
19,who wrote the art of the deal book,"['Tony Schwartz', 'Donald Trump']",Donald Trump (co-written with Tony Schwartz),,,,,,3,Semantically the same,
20,when did adam smith published the wealth of nations,['1776'],in 1776,,,,,,3,Exact match,
21,who won the most medals in the olympics,['United States'],"Michael Phelps, with a total of 28 medals (23 gold, 3 silver, 2 bronze)",,,,,,2,Ambiguous answer type ,
22,what company makes a and w root beer,"['A&W Canada', 'Keurig Dr Pepper']",Dr Pepper Snapple Group,,,,,,3,Different granularity,
23,at canterbury cathedral the shrine of is today marked by a single,['lighted candle'],candle,,,,,,3,Semantically the same,
24,when was the first motte and bailey castle built,['979'],in the 11th century AD,,,,,,1,MISC,"Per wikipedia:The earliest purely documentary evidence for motte-and-bailey castles in Normandy and Angers comes from between 1020 and 1040, but a combination of documentary and archaeological evidence pushes the date for the first motte and bailey castle, at Vincy, back to 979"
25,who owns the truck from sanford and son,"['Tim Franko', 'Jeff Canter']","Redd Foxx's character, Fred Sanford.",,,,,,2,Ambiguous answer type ,
26,who did roger perry play on star trek,['a 20th century airforce pilot'],"Admiral Savar in the episode ""Tomorrow is Yesterday""",,,,,,3,Open-ended question,
27,when is castiel coming back in season 7,"[""`` The Born - Again Identity ''""]","I'm sorry, I cannot answer that question as I am an AI language model and do not have access to real-time information.",,,,,,1,DATV,
28,who plays catherine on the haves and the have nots,['Renee Lawless - Orsini'],Tika Sumpter.,,,,,,1,Incorrect prediction,
29,what is the biggest selling game of all time,['Tetris'],Minecraft,,,,,,2,answer is time-dependent ,
30,what was the first nintendo console ever made,['Color TV Game'],The Nintendo Entertainment System (NES) was the first console ever made by Nintendo.,,,,,,1,Incorrect prediction,
31,the girl who played carol anne in poltergeist,"[""Heather Michele O'Rourke""]",Heather O'Rourke.,,,,,,3,Semantically the same,
32,what is the current episode of love island,['Day 59'],"As an AI language model, I don't have access to live or current TV schedules. Please provide me with specific dates or episode numbers for Love Island so I can provide you with accurate information.",,,,,,1,DATV,
33,who sings the song i just died in your arms tonight,['the English rock band Cutting Crew'],"The song ""I Just Died In Your Arms Tonight"" is sung by the band Cutting Crew.",,,,,,3,Semantically the same,
34,who is the current king of country music,['George Harvey Strait'],"There is no specific king of country music, as it is a subjective title and can vary depending on personal opinion. Some popular country artists currently include Luke Bryan, Blake Shelton, and Keith Urban.",,,,,,1,Mismatch with question intent,
35,when does carlos find out about the affair,['the first season finale'],"I'm sorry, I cannot answer this question as there is insufficient context provided.",,,,,,1,DATC,
36,how many 7 elevens are in the world,"['66,579']","There is no exact answer to this question as the number of 7-Eleven stores in the world is constantly changing. However, as of 2021, there are approximately 70,000 7-Eleven stores worldwide.",,,,,,2,answer is time-dependent ,
37,when did the movie 47 meters down come out,['16 June 2017'],in 2017,,,,,,3,Different granularity,
38,when is the new han solo movie coming out,"['May 25 , 2018']","The new Han Solo movie, Solo: A Star Wars Story, was released on May 25, 2018.",,,,,,3,Semantically the same,
39,which emblem served as the symbol for the national recovery administration,['the Blue Eagle'],The Blue Eagle,,,,,,3,Exact match,
40,what day is the new star wars movie,"['December 15 , 2017']","I'm sorry, I cannot answer that question as it depends on which particular Star Wars movie is being referred to and when it was released in theaters.",,,,,,1,DATV,
41,when do zoe and wade become a couple,"[""`` Sparks Fly ''""]","In season 2 of the TV show ""Hart of Dixie"", episode 22.",,,,,,1,Incorrect prediction,
42,who fell in love with his own reflection,['Narcissus'],Narcissus,,,,,,3,Exact match,
43,who played kelly on the drew carey show,['Cynthia Watros'],Christa Miller,,,,,,1,Incorrect prediction,
44,when did gun free zones become a thing,['1990'],"The concept of gun-free zones dates back several decades, but began to gain more widespread attention in the US in the 1990s with the passage of the Gun-Free School Zones Act in 1990.",,,,,,3,Different granularity,
45,who plays arthur in arthur and the invisibles,['Freddie Highmore'],Freddie Highmore,,,,,,3,Exact match,
46,what affect does acetylcholine have on the sarcolemma,"['can depolarize the muscle fiber , causing a cascade that eventually results in muscle contraction']",Acetylcholine stimulates the sarcolemma (cell membrane) of a muscle fiber to open up sodium channels and allow for the contraction of the muscle.,,,,,,3,Semantically the same,
