Unnamed: 0,Questions,Gold Answers,GPT Answer,BERT Similarity GPT,Base Model Answers,BERT Similarity Baseline,GPT Correctness,Baseline Correctness,FLAN-T5 Answer,Annotator Label,Category
0,who was the bad guy in dudley do right,['Snidely Whiplash'],Snidely Whiplash,,,,,,a gangster,1,Mismatch with question intent
1,who won the women's gold medal curling,['Sweden ('],It depends on the specific year and competition being referred to. Please provide more context for a specific answer.,,,,,,United States,1,Incorrect prediction
2,who built the dome of the rock mosque,['initially completed in 691 CE at the order of Umayyad Caliph Abd al - Malik'],The dome of the rock mosque was built by Caliph Abd al-Malik in 691 CE.,,,,,,Sultan Ahmed bin Abdul Aziz,1,Incorrect prediction
3,what does hhr stand for on a chevy,['Heritage High Roof'],HHR stands for Heritage High Roof.,,,,,,High Horsepower,1,Incorrect prediction
4,who won x factor when olly murs came second,['Joe McElderry'],Joe McElderry,,,,,,Simon Cowell,1,Incorrect prediction
5,geographically speaking where might one generally find island arcs,['close to a boundary between two converging tectonic plates'],"Island arcs are generally found in areas where one tectonic plate subducts under another, such as in the Pacific Ring of Fire.",,,,,,in the Pacific Ocean,1,Mismatch with question intent
6,what is the name of the prince in the little mermaid,['Eric'],Prince Eric,,,,,,Prince Eric,3,Semantically the same
7,what is the creature in the mines of moria,['Balrogs'],The creature in the mines of Moria is a Balrog.,,,,,,Dumbledore,1,Incorrect prediction
8,what is the enrollment at ball state university,"['22,513 students']","As an AI language model, I do not have access to real-time data. The enrollment numbers may change from year to year, it is advisable to check the official website of Ball State University for the latest information.",,,,,,"66,590",1,Incorrect prediction
9,who does the voice for the crab on moana,['Jemaine Clement'],The crab on Moana is voiced by Jemaine Clement.,,,,,,Auli'i Cravalho,1,Incorrect prediction
10,when does the new ravens home come on,['May 2018'],"I'm sorry, I cannot answer that question without more context. Could you be more specific?",,,,,,"October 1, 2017",2,Answer is time-dependent
11,who plays james bond in tomorrow never dies,['Pierce Brosnan'],Pierce Brosnan,,,,,,Sean Connery,1,Incorrect prediction
12,who plays yondu guardians of the galaxy 2,['Michael Rooker'],Michael Rooker,,,,,,Chris Pratt,1,Incorrect prediction
