Unnamed: 0.1,Unnamed: 0,Contexts,Questions,Gold Answers,GPT Answer,Annotator Label - GPT Answer,Category - GPT Answer,BERTScore Similarities GPT,LERC Score GPT,SAS Similarities GPT,BEM Similarities GPT,FLAN-T5 Answer,Annotator Label - FlanT5,Category - FlanT5,LERC Score FlanT5,BERTScore Similarities FlanT5,SAS Similarities FlanT5,BEM Similarities FlanT5
0,0.0,"['Do - Right , segment of The Rocky and Bullwinkle Show     Created by   Jay Ward     Portrayed by   Alfred Molina ( film )     Voiced by   Hans Conried Corey Burton     Snidely Whiplash is the archenemy of Dudley Do - Right in the Dudley Do - Right of the Mounties segments of the animated television series The Rocky and Bullwinkle Show ( 1959 -- 64 ) conceived by American animator Jay Ward .   The character was voiced by Hans Conried in']",who was the bad guy in dudley do right,['Snidely Whiplash'],Snidely Whiplash,3.0,Exact match,1.0,5.081576347,0.9666666,0.9898716807,a gangster,1.0,Mismatch with question intent,1.228954195976257,0.8200584650039673,0.009029187262058258,0.05020879954099655
1,1.0,['Martin Deborah Knox Fiona MacDonald Janice Rankin Margaret Morton   Switzerland ( SUI ) Luzia Ebnöther Mirjam Ott Tanya Frei Laurence Bidaud Nadia Röthlisberger   Canada ( CAN ) Kelley Law Julie Skinner Georgina Wheatcroft Diane Nelson Cheryl Noble     2006 Turin details   Sweden ( SWE ) Anette Norberg Eva Lund Cathrine Lindahl Anna Svärd Ulrika Bergman   Switzerland ( SUI ) Mirjam Ott Binia Beeli Valeria Spälty Michèle Moser Manuela Kormann   Canada ( CAN ) Shannon Kleibrink Amy Nixon Glenys Bakker Christine Keshen Sandra Jenkins     2010 Vancouver'],who won the women's gold medal curling,['Sweden ('],It depends on the specific year and competition being referred to. Please provide more context for a specific answer.,1.0,DATC,0.8062765598,1.372812152,0.03945733,0.05749206245,United States,1.0,Incorrect prediction,2.754412174224853,0.8540770411491394,0.010043730959296227,0.08670901507139206
2,2.0,"['    The Dome of the Rock ( Arabic : قبة الصخرة \u200e Qubbat al - Sakhrah , Hebrew : כיפת הסלע \u200e Kippat ha - Sela ) is an Islamic shrine located on the Temple Mount in the Old City of Jerusalem .   It was initially completed in 691 CE at the order of Umayyad Caliph Abd al - Malik during the Second Fitna , built on the site of the Roman temple of Jupiter Capitolinus , which had in turn been built on the site of the Second Jewish Temple , destroyed during the Roman Siege of Jerusalem in 70 CE . The original dome collapsed in 1015 and']",who built the dome of the rock mosque,['initially completed in 691 CE at the order of Umayyad Caliph Abd al - Malik'],The dome of the rock mosque was built by Caliph Abd al-Malik in 691 CE.,3.0,Semantically the same,0.9119746089,3.717231035,0.6569418,0.8232257962,Sultan Ahmed bin Abdul Aziz,1.0,Incorrect prediction,1.4496458768844604,0.8042001128196716,0.01114010438323021,0.13746075332164764
3,3.0,"['Chevrolet Zafira compact MPV .   Chevrolet marketed a panel van variant of the HHR beginning in 2007 . Assembled in Ramos Arizpe , Mexico and marketed throughout North America , production of the HHR ended in May 2011 .   The name HHR is an initialism for Heritage High Roof .   Contents    1 Design   2 Assembly and sales   3 SS Turbocharged   4 Engines   5 Safety   6 Sales   7 Gallery   8 See also   9 References   10 External links']",what does hhr stand for on a chevy,['Heritage High Roof'],HHR stands for Heritage High Roof.,3.0,Semantically the same,0.812078476,4.726676941,0.83837825,0.9897609353,High Horsepower,1.0,Incorrect prediction,1.1647711992263794,0.8309774398803711,0.010302804410457611,0.09816526621580124
4,4.0,"[""was mentored by one of the show 's four judges : Simon Cowell , Dannii Minogue , Louis Walsh and Cheryl Cole . Cowell mentored the Over 25s , Minogue was looking after the Girls , Walsh had the Groups and Cole mentored the Boys . In the final , Joe McElderry was declared the winner , Olly Murs was the runner - up and Stacey Solomon finished in third place .   Contents  ( hide )   1 Boys   1.1 Lloyd Daniels   1.2 Rikki Loney   1.3 Joe McElderry    ""]",who won x factor when olly murs came second,['Joe McElderry'],Joe McElderry,3.0,Exact match,1.0,5.079546452,0.96386856,0.9913529754,Simon Cowell,1.0,Incorrect prediction,1.0901228189468384,0.7714509963989258,0.009346467442810535,0.041913192719221115
5,5.0,"[') ( Learn how and when to remove this template message )    The Ryukyu Islands form an island arc .  An island arc is a type of archipelago , often composed of a chain of volcanoes , with arc - shaped alignment , situated parallel and close to a boundary between two converging tectonic plates .   Most of these island arcs are formed as one oceanic tectonic plate subducts another one and , in most cases , produces magma at depths below the over-riding plate . However , this is only true for those island arcs that are part of the group of']",geographically speaking where might one generally find island arcs,['close to a boundary between two converging tectonic plates'],"Island arcs are generally found in areas where one tectonic plate subducts under another, such as in the Pacific Ring of Fire.",3.0,Open-ended question,0.8737491369,2.119992971,0.40146935,0.2478677928,in the Pacific Ocean,1.0,Mismatch with question intent,2.288163423538208,0.8315728902816772,0.01040069479495287,0.06962667405605316
6,6.0,"[""she is a secondary character . Ariel is voiced by Jodi Benson and designed by Glen Keane . Ariel is the seventh - born and the youngest daughter of king Triton and queen Athena of the merfolk , and over the course of the original film becomes human and marries Eric , a human prince . She is the only Disney Princess to reach parenthood in Disney 's animated film canon .   Eric ( edit )     Eric     First appearance   The Little Mermaid ( 1989 )    ""]",what is the name of the prince in the little mermaid,['Eric'],Prince Eric,3.0,Semantically the same,0.9080253243,4.820942402,0.71350414,0.9887496233,Prince Eric,3.0,Semantically the same,4.820942401885986,0.908025324344635,0.7135041356086731,0.988749623298645
7,7.0,"[""article describes a work or element of fiction in a primarily in - universe style . Please help rewrite it to explain the fiction more clearly and provide non-fictional perspective . ( February 2010 ) ( Learn how and when to remove this template message )     Balrogs / ˈbælrɒɡz / are fictional creatures who appear in J.R.R. Tolkien 's Middle - earth legendarium . Such creatures first appeared in print in his novel The Lord of the Rings , where the Fellowship of the Ring encounter one known as Durin 's Bane in the Mines of Moria""]",what is the creature in the mines of moria,['Balrogs'],The creature in the mines of Moria is a Balrog.,3.0,Semantically the same,0.8455336094,3.842178583,0.5588714,0.9869978428,Dumbledore,1.0,Incorrect prediction,1.1390535831451416,0.8346508145332336,0.009294948540627956,0.038266804069280624
8,8.0,"[""School -- Eastern Division on June 17 , 1918 .   Ball State is classified by the Carnegie Classification of Institutions of Higher Education as a doctoral university : higher research activity . The university is composed of eight academic colleges . As of 2017 , total enrollment was 22,513 students , including 17,004 undergraduates and 5,509 postgraduates . The university offers about 190 undergraduate majors and 130 minor areas of study and more than 140 master 's , doctoral , certificate , and specialist degrees . There are more than 400 student organizations and clubs on campus , including 34""]",what is the enrollment at ball state university,"['22,513 students']","As an AI language model, I do not have access to real-time data. The enrollment numbers may change from year to year, it is advisable to check the official website of Ball State University for the latest information.",1.0,DATV,0.8137350082,1.206068397,0.12781225,0.05585423857,"66,590",1.0,Incorrect prediction,1.3991549015045166,0.9195371866226196,0.21127931773662567,0.050870347768068314
9,9.0,"['comedy   satire   black comedy   self - deprecation   cringe comedy   deadpan       Subject ( s )     race relations   human sexuality           Jemaine Clement ( born 10 January 1974 ) is a New Zealand singer , comedian , musician , actor , voice actor , director , and writer . With Bret McKenzie , as the comedy duo Flight of the Conchords , he has released several albums and created comedy series for both']",who does the voice for the crab on moana,['Jemaine Clement'],The crab on Moana is voiced by Jemaine Clement.,3.0,Semantically the same,0.8587595224,4.117228508,0.29384774,0.9851602316,Auli'i Cravalho,1.0,Incorrect prediction,1.01570463180542,0.7583526968955994,0.009622326120734215,0.0427253320813179
